Part,Alt_Part,Name,Brand,Model,Engine,Car,Loc_A,Loc_A_Stock,Loc_B,Loc_B_Stock,Unit,Rate,Value,Remarks
000-000-004039,000-000-004039,BATTERY AUX,OE,UNIVERSAL,ALL,MERCEDES,39/25C,0,ARD/25,0,PCS,534.98,0,E-EP
000-000-004207,000-000-004207,FUSE LINK,OE,UNIVERSAL,ALL,MERCEDES,39/244 D BOX,5,ARD/24,3,PCS,452.67,0,
000-030-6924,89-1025-00,PISTON RING,ROP,OM616,OM651,MERCEDES,39/209B,5,ARD/65,2,SET,432.1,0,
000-078-0956,000-078-0956,FILTER INLINE,OE,OM651,MM611,MERCEDES,39/209E,63,ARD/45,2,PCS,370.37,0,
000-141-1625,000-141-1625,ILDER CONTROL VALVE,OE,OM271,OM611,MERCEDES,39/210A,2,ARD/55,2,PCS,185.19,0,
000-141-1625,000-141-1625,ILDER CONTROL VALVE,OE,W126,OM102,MERCEDES,39/202A,21,ARD/45,2,PCS,164.61,0,39/246C
000-150-2980,000-150-2980,IGN COIL,BMTSR,W203/211,OM271,MERCEDES,39/205A,22,ARD/65,2,PCS,123.46,0,C-IT
000-202-0019,532-0160-10,PULLY PVC 6PK,oe,UNIVERSAL,OM616,MERCEDES,39/249B,45,ARD/52,2,PCS,51.44,0,
000-230-3165,000-230-3165,VACCUM PUMP,OE,W210,OM651,MERCEDES,39/112A,3,ARD/54,2,pcs,102.88,0,
000-420-4802,2294401   45141FEBI   ,BRAKE PAD,OE,GLE,MM611,MERCEDES,39/221P,2,ARD/11,2,SET,493.83,0,
000-420-4900,22586  44112FEBI,BRAKE PAD,OE,CLA,OM611,MERCEDES,39/115S,2,ARD/23,25,SET,123.46,0,
000-420-5900,22423    56452FEBI,BRAKE PAD,OE,GLC220D,OM102,MERCEDES,39/95K,5,ARD/25,55,SET,82.3,0,
000-420-6200,2279201,BRAKE PAD,OE,W253/213,OM271,MERCEDES,39/44B,5,ARD/85,2,SET,82.3,0,E-RL/LT
012-094-0040,LX-804,AIR FILTER,MEYLE,CLA,OM616,MERCEDES,39/45K,3,ARD/74,2,PCS,123.46,0,
012-094-0040/S,LX-804S,AIR FILTER,MEYLE,W-220,OM271,MERCEDES,39/207/36 BRG,5,ARD/54,5,PCS,144.03,0,STIR-TP
012-094-0053,LX-794,AIR FILTER,MEYLE,A-180,OM-166.940,MERCEDES,39/201L,5,ARD/85,2,PCS,92.59,0,
012-094-0071,LX-992,AIR FILTER,MEYLE,GLC220D,OM611,MERCEDES,39/202K,5,ARD/96,5,PCS,133.74,0,
014-610-0017/HD,212-333-0014,SUSP BUSH,MEYLE,W212,OM102,MERCEDES,39/235A BOX1,16,ARD/21,5,PCS,92.59,0,SHRT-TP
014-610-0020,246-333-0114,SUSP BUSH,MEYLE,W213,OM271,MERCEDES,39/243E BOX1,4,ARD/22,5,PCS,88.48,0,SEUR-SET TP
014-610-0021,246-333-0100,SUSP BUSH,MEYLE,W212,OM616,MERCEDES,39/243 D,1,ARD/45,2,PCS,47.33,0,SITT-TP
014-610-0022,246-333-0200,SUSP BUSH,MEYLE,W211,OM651,MERCEDES,39/ 243D,1,ARD/45,43,PCS,65.84,0,SITT-TP
014-610-0029,164-333-0314,SUSP BUSH,MEYLE,W203/211,OM611,MERCEDES,39/243E BOX1,2,ARD/45,2,PCS,61.73,0,IGT-TP
014-610-0030,164-333-0414,SUSP BUSH,MEYLE,W203/211,OM102,MERCEDES,39/ 243E BOX 1,4,ARD/54,2,PCS,57.61,0,GTR-TP
014-610-0031,164-330-1707,SUSP BUSH,MEYLE,W220/211/203,OM271,MERCEDES,39/54K,4,ARD/78,4,PCS,53.5,0,PIHR-TP
014-610-0032,164-330-1807,SUSP BUSH,MEYLE,W204,OM616,MERCEDES,39/54C,4,ARD/78,4,PCS,61.73,0,ESSR-TP
014-610-0039,205-333-3800,SUSP BUSH,MEYLE,W253,OM651,MERCEDES,39/52B,3,ARD/96,4,PCS,59.67,0,
014-610-0052,205-330-5501,SUSP BUSH,MEYLE,W205/GLC253,OM611,MERCEDES,39/23C,2,ARD/21,4,PCS,18.11,0,
016-030-0007,211-330-2603,TIE ROD END,MEYLE,W204,OM102,MERCEDES,39/25,2,ARD/23,1,PCS,18.11,0,SLTR-TP
016-030-6309,124-330-0803,TIE ROD END,MEYLE,W124,OM271,MERCEDES,39/245,2,ARD/54,2,PCS,186.83,0,
016-030-6332,016-030-6332,TIE ROD ASSY,MEYLE,W123,OM616,MERCEDESE,39/243 C,1,ARD/56,1,PCS,182.72,0,
016-031-0002,220-338-0715,RACK END,MEYLE,W220/211/203,OM651,MERCEDES,39/243C,2,ARD/55,1,PCS,18.11,0,GPT-TP/C-UT
016-031-0008,164-460-0005,RACK END,MEYLE,W221,OM611,MERCEDES,39/ 243C,2,ARD/45,5,PCS,0,0,UTGT-TP
016-031-0009,204-338-0415,RACK END,MEYLE,W222,OM102,MERCEDES,39/ 243C,6,ARD/58,5,PCS,18.11,0,SPGT-TP
016-031-0010,221-330-1603,RACK END,MEYLE,W221,OM271,MERCEDES,39/ 243C,2,ARD/54,5,PCS,18.11,0,SGGR-TP
025-220-9817/PD,22098,BRAKE PAD,MEYLE,W221,OM616,VOLVO,39/253C,5,ARD/55,5,SET,22.63374486,0,
025-221-4519/PD,22145,BRAKE PAD,MEYLE,W220/211/203,OM651,LANDROVER,39/253C,5,ARD/45,5,SET,45.67901235,0,
025-221-4519/PD,22145,BRAKE PAD,MEYLE,W124,OM611,LANDROVER,39/248F DWN,2,ARD/45,5,SET,49.79423868,0,
025-223-0218/PD,22302,BRAKE PAD,MEYLE,W210,OM102,LANDROVER,39/253 C,9,ARD/41,5,SET,50.20576132,0,
025-223-0717,22307,BRAKE PAD,MEYLE,Q7/A-8,OM271,AUDI,39/253D,3,ARD/41,4,SET,62.55144033,0,
025-223-0717,22307,BRAKE PAD,MEYLE,Q5,OM616,AUDI,39/248F DWN,3,ARD/21,4,SET,6.172839506,0,
025-223-0817,22308,BRAKE PAD,MEYLE,A4/Q-5,OM651,AUDI,39/253D,4,ARD/56,4,SET,6.172839506,0,
025-223-0817,22308,BRAKE PAD,MEYLE,W5,8K0,AUDI,39/248F DWN,2,ARD/74,4,SET,21.39917695,0,
04465-30060,04465-YZZ52,BRAKE PAD,ROP,JZS133,JZS133,TOYOTA,39/65,2,ARD/85,4,SET,21.4,0,
04465-30060,04465-34010,BRAKE PAD,OE,JZS133,JZS133,TOYOTA,39/54,2,ARD/89,4,SET,21.4,0,
04465-30060,D-2067,BRAKE PAD,LUCAS,CROWN,JZS133,TOYOTA,39/58,2,ARD/78,4,SET,18.52,0,
04465-30060,KL-522,BRAKE PAD,KEVLAR,CROWN,JZS133,TOYOTA,39/58,5,ARD/69,4,SET,18.52,0,
04465-30060,PF-1157,BRAKE PAD,NISSHINBO,CROWN,JZS133,TOYOTA,39/98,5,ARD/54,4,SET,18.52,0,
100-498-0064,4D0-498-099A,CV JOINT,MEYLE,AUDI,A6,SKODA,39/54,5,ARD/45,4,PCS,19.75,0,
100-498-0157,7L0-498-099C,CV JOINT,MEYLE,Q7 OUTER,Q7,AUDI,39/ 242B,5,ARD/85,4,PCS,34.98,0,C-UUS
100-498-0193,1K0-407-311J,CV JOINT,MEYLE,LAURA,1KO,AUDI/SKODA,39/ 242B,5,ARD/52,4,PCS,22.22,0,
100-498-0195,1K0-498-099,CV JOINT,MEYLE,A4/Q-5,1K1,AUDI,39/ 242B/241B,2,ARD/74,4,PCS,269.14,0,
E1004L,LX-1640,AIR FILTER,HENGST,E-90,E90,BMW,39/98,5,ARD/85,4,PCS,2.06,0,
E1014L,LX-1686/1,AIR FILTER,HENGST,W-212/204,OM651,MERCEDES,39/87,5,ARD/96,4,PCS,16.87,0,
E1015L,LX-2813,AIR FILTER,HENGST,W-204/212,OM646,MERCEDES,39/25,5,ARD/74,4,PCS,2.06,0,D-PL/PE
E1018L,LX-2067,AIR FILTER,HENGST,X3,N47/M57,BMW,39/98,5,ARD/45,4,PCS,22.22,0,
E1029L,LX-1850/1,AIR FILTER,HENGST,W211,E280,MERCEDES,39/54,5,ARD/45,4,PCS,9.47,0,ATRT
